station_id,station_name,hardware,software,latitude,longitude,elevation_m,timestamp_utc,temperature_c,dew_point_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_gust_kmh,wind_dir_cardinal,wind_dir_deg,precip_mm_1h,solar_radiation_wm2,uv_index,source,visibility_m,cloud_cover_okta
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,,,,,,,,,,,,,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:04:00,13.44,10.72,84.0,1007.45,7.08,17.54,,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:09:00,13.5,10.72,83.0,1007.45,4.02,18.19,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:14:00,13.5,10.72,83.0,1007.45,6.6,18.83,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:19:00,13.56,10.72,83.0,1007.45,4.99,18.99,,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:24:00,13.61,10.67,82.0,1007.45,4.02,13.68,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:29:00,13.67,10.67,82.0,1007.45,5.15,14.16,NW,315.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:34:00,13.72,10.72,82.0,1007.45,6.44,15.61,North,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:39:00,13.67,10.83,83.0,1007.45,3.06,12.39,NW,315.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:44:00,13.61,10.78,83.0,1007.45,4.83,15.29,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:49:00,13.61,10.78,83.0,1007.45,4.99,13.36,,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:54:00,13.61,10.67,82.0,1007.45,5.95,15.93,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 00:59:00,13.61,10.61,82.0,1007.45,6.92,18.83,NW,315.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:04:00,13.67,10.61,82.0,1007.45,3.54,12.07,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:09:00,13.67,10.44,81.0,1007.45,5.79,15.29,,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:14:00,13.72,10.5,81.0,1007.45,4.02,13.36,North,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:19:00,13.67,10.33,80.0,1007.45,5.63,23.34,WNW,292.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:24:00,13.61,10.39,81.0,1007.45,6.28,15.93,,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:29:00,13.56,10.33,81.0,1007.45,5.95,14.97,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:34:00,13.44,10.11,80.0,1007.45,7.4,15.61,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:39:00,13.39,9.89,80.0,1007.45,5.47,13.04,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:44:00,13.39,9.78,79.0,1007.45,6.92,13.52,NW,315.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:49:00,13.39,9.72,78.0,1007.45,10.14,21.4,WNW,292.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:54:00,13.39,9.72,78.0,1007.45,7.89,18.67,West,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 01:59:00,13.28,9.61,78.0,1007.45,7.56,19.79,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 02:04:00,13.28,9.61,78.0,1007.45,7.89,20.76,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 02:09:00,13.22,9.5,78.0,1007.79,6.76,22.05,WSW,247.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 02:14:00,13.22,9.5,78.0,1007.79,6.6,18.02,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 02:19:00,13.11,9.44,79.0,1007.79,3.86,15.29,North,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 02:24:00,13.0,9.39,78.0,1007.79,8.21,22.05,NNW,337.0,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 02:29:00,13.0,9.39,79.0,1007.79,3.86,12.07,,,0.0,0.0,0.0,weather_underground,,
ILAMAD25,La Madeleine,other,EasyWeatherPro_V5.1.6,50.659,3.07,23.0,2025-03-24 02:34:00,12.94,9.39,79.0,1007.79,6.28,17.22,WNW,292.0,0.0,0.0,0.0,weather_underground,,
